Index,artist,title,mood,lyrics,wordcount
0,Tommy James & The Shondells,Crystal Blue Persuasion,relaxed,"
Look over yonder
What do you see?
The sun is a-rising
Most definitely
A new day is coming (whoo-hoo!)
People are changing
Ain't it beautiful? (whoo-hoo!)
Crystal Blue Persuasion


Better get ready
Gonna see the light
Love, love is the answer (whoo-hoo!)
And that's alright
So don't you give up now (whoo-hoo!)
So easy to find
Just look to your soul (look to your soul!)
And open your mind




Crystal Blue Persuasion, Mm-hmm
It's a new vibration
Crystal Blue Persuasion, Crystal
Blue Persuasion

Maybe tomorrow
When he looks down
In every green field (whoo-hoo!)
And every town
All of his children
In every nation
There'll be, Peace and Good
Brotherhood
Crystal Blue Persuasion, Yeah


Crystal Blue Persuasion, ah-ha!
Crystal Blue Persuasion, ah-ha!
Crystal Blue Persuasion, ah-ha!
Oh!
Crystal Blue Persuasion, ah-ha!
Crystal Blue Persuasion, ah-ha!
Crystal Blue Persuasion, ah-ha!
Crystal Blue Persuasion, ah-ha!",914
1,Dixie Chicks,There's Your Trouble,angry,"
It should've been different, but it wasn't different, was the
Same old story, ""Dear John,"" and so long
It should've fit like a glove, it should've fit like a ring
Like a diamond ring, a token of true love


Should've all worked out, but it didn't
She should be here now, but she isn't


There's your trouble, there's your trouble
You keep seein' double with the wrong one
And you can't see I love you, you can't see she doesn't
But you just keep holdin' on
There's your trouble


So now you're thinkin' 'bout all you're missin' how
Deep you're sinkin', 'round and 'round and draggin' down
Why don't you cash in your chips, why don't you call it a loss
Not such a big loss, chalk it up to better luck


Could've been true love, but it wasn't
It should all add up, but it doesn't
There's your trouble, there's your trouble
You keep seein' double with the wrong one
You can't see I love you, you can't see she doesn't
But you just keep holdin' on
There's your trouble


Should've all worked out, but it didn't
She should be here now, but she isn't


There's your trouble, there's your trouble
You keep seein' double with the wrong one
And you can't see I love you, you can't see she doesn't
But you just keep holdin' on
There's your trouble
There's your trouble
There's your trouble
There's your trouble
There is your trouble",1323
2,Miss Kittin & The Hacker,Indulgence,happy,"I.N.D.U.L.G.E.N.C.E
Treat yourself
Love yourself
Caress yourself
Don't blame yourself",85
3,The Replacements,Skyway,sad,"
You take the skyway
High above the busy little one-way
In my stupid hat and gloves
At night, I lie awake wonderin' if I'll sleep
Wonderin' if we'll meet out in the street


But you take the skyway
It don't move at all like a subway
It's got bums when it's cold
Like any other place, it's warm up inside
Sittin' down and waitin' for a ride
Beneath the skyway


Mmm-mmm, mmm
Mmm-mmm, mmm-mmm-mmm
Mmm-mmm-mmm, mmm-mmm


Oh, then one day
I saw you walkin' down that little one-way
Where the place I'd catch my ride most everyday
There wasn't a damn thing I could do or say
Up in the skyway
Skyway
Skyway",600
4,The Museum,Never Look Away,angry,"I walked home alone today
Quickly I was lost along the way
Till You stepped out in front of me
You took my hands and said come on and follow me
This is love

That You shine on
The darkness all around us
It all just disappears
You shine on
The walls that crash around us
Whenever You are near
Whoa
Whoa

You and me we used to be
Lovers torn and lost along the way
Until Heaven came and rescued me
I found grace right in front of me
This is love

That You shine on
The darkness all around us
It all just disappears
You shine on
The walls that crash around us
Whenever You are near
We'll never be the same
Cuz You never look away
We'll never be the same
Cuz You never look away

That You shine on
The darkness all around
Yeah You shine on
The walls that crash around us
Whenever You are near

Cuz You shine on
The darkness all around us
It all just disappears
And You shine on
The walls that crash around us
Whenever You are near

You never look away
You never look away",967
5,Otis Redding,Respect,relaxed,"What you want, honey, you got it
And what you need, baby, you got it
All I'm askin' is give me a little respect when I come home
Ooh, yeah
Hey, hey, hey
Yeah, now
Ooh, yeah
You can do me wrong, honey, if you wanna
But only do me wrong, honey, while I'm gone
All I'm askin' is give it, give it when I come home
Ooh, yeah
Hey, hey, hey
Yeah, now
Hey, little girl, you're sweeter than honey
And I wanna give you all of my money
All I'm askin' is give it when I come home
Yeah, now
Hey, hey, hey
Ooh, yeah, now
Hey, little girl, you're so sweeter than honey
And I wanna give you all of my money
But all I want you to do is give it, give it, give it when I come home
Ooh, yeah
Hey, hey, hey
Respect when I want it
Respect when I need it
Respect when I want it
Respect when I need it
Got to, got to have it
We got to have it
Got to, got to have it
Give it to me when I want it
Give it to me when I need it
Give it to me with respect, ah
Give it to me when I want it
Got to, got to give it
Got to, got to give it
You got to give it
You got to give it
We got to give it",1061
6,Alela Diane,To Begin,sad,"Down the stairs to the stone house
Golden light, oh what a fight
Another sleepless night, her dress is filigree
She tells me all her secrets then I'm back on the street

It's hard, oh it's hard to help yourself
When you don't know where to begin
It's the devil, it's the boil, it's the black of night
In your head, in your head

Do you see the fire heavy lit before its time?
Know you the color of the end of the end of the end
Silence is dancing to a beating drum
Money is nothing but a loaded gun

And it's hard, oh it's hard to help yourself
When you don't know where to begin
It's the devil, it's the boil, it's the black of night
In your head, in your head

It's hard, oh it's hard to help yourself
When you don't know where to begin
It's the devil, it's the boil, it's the black of night
In your head, in your head

And it's hard, oh it's hard to help yourself
When you don't know where to begin
In the midst of a moment can you break the bull?
Can you tame the demon?
Light a candle in the dark, in the dark, in dark
In the dark, light a candle in the dark, in dark
In dark, in dark, oh in the dark, light a candle in the dark
In dark, in dark, in dark",1159
7,Dokken,Alone Again,sad,"
I'd like to see you in the morning light
I'd like to feel you when it comes tonight
Now I'm here and I'm all alone
Still I know how it feels
I'm alone again


Tried so hard to make you see
But I couldn't find the words
Now the tears, they fall like rain
I'm alone again without you
Alone again without you
Alone again without you
Alone again without you


I said stay, but you turned away
Tried to say that it was me
Now I'm here and I've lost my way
Now I know how it feels
I'm alone again


Tried so hard to make you see
But I couldn't find the words
Now the tears, they fall like rain
I'm alone again without you
Alone again without you
Alone again without you
Alone again without you

I tried so hard to make you see
But I couldn't find the words
Now the tears, they fall like rain
I'm alone again without you
Alone again without you
Alone again
Alone again
Alone again without you",886
8,Obituary,Slowly We Rot,angry,"
Kill all!
Fight death!
Lesions
Fighting love




Fight them all in a living hell
Slowly rot and you die
You fight death as you
Slowly realize
Kill them all, fight death
And slowly read in the love
Fight them all, join me
Slowly we rot
Slowly we rot!


Dead to all, fighting as you
Slowly read in your love
Fighting the sword
The sword is your plow
Dead to all, fighting as you're
Slowly rotting in hell
Fight them all, join me
Slowly we dwell
Slowly we dwell!
Decharge!




Rot!",479
9,Randy Travis,If I Didn't Have You,sad,"
Well, I lost my heart on the day we met
But I gained a lot and that I don't regret
Then I hung around 'til you said I do
I knew I wouldn't have nothin' if I didn't have you


Well, it changed my thinkin' when you changed your name
And neither one of us will ever be the same
And I swear I'm never gonna be untrue
'Cause I wouldn't have nothin' if I didn't have you


If I didn't have you, I'd long ago
Been left in the dark, out in the cold
Blowin' around from town to town
Like a feather in the wind
If I didn't have you, I know I'd be
Flounderin' around like a ship at sea
Lost in the rain of a hurricane
And that's where I'd have been


But I didn't get lost 'cause I saw your light
Shinin' like a beacon on a cold dark night
And the sun came up and the skies turned blue
No, I wouldn't have nothin' if I didn't have you

Well, I count my blessings every night I pray
That the Lord lets me keep you just one more day
And every day He does, 'cause God knows too
That I wouldn't have nothin' if I didn't have you


If I didn't have you, I'd long ago
Been left in the dark out in the cold
Blowin' around from town to town
Like a feather in the wind
If I didn't have you, I know I'd be
Flounderin' around like a ship at sea
Lost in the rain of a hurricane
And that's where I'd have been


But I didn't get lost 'cause I saw your light
Shinin' like a beacon on cold dark night
Then the sun came up and the skies turned blue
No, I wouldn't have nothing if I didn't have you


Well, I've already said it, but I swear it's true
I know I wouldn't have nothin' if I didn't have you",1575
